user_id,first_name,last_name,email,phone_number,profile_picture,date_of_birth,address,user_role,account_status,date_joined,last_login,Latitude,Longitude
1,Zachary,Finley,herrerabrandon@example.com,+1-364-461-4705x0035,kimberly.jpg,1989-10-23,"Pinder Court, St Albans Park, Geelong, City of Greater Geelong, Victoria, 3219, Australia",driver,active,2023-03-13,2024-09-20,-38.1817441,144.3861488
2,Charles,Hunter,dscott@example.net,723.298.5445,gregory.jpg,1985-03-10,"Geelong, City of Greater Geelong, Victoria, 3218, Australia",driver,active,2024-09-15,2024-06-03,-38.1180538,144.2047333
3,Lauren,Brown,kennedywillie@example.org,785-527-1224,susan.jpg,1990-05-31,"Fyansford, Batesford, City of Greater Geelong, Victoria, 3213, Australia",host,active,2024-07-01,2024-06-09,-38.1385267,144.3126742
4,Teresa,Williams,acevedodarren@example.org,732-508-5879x365,jack.jpg,1972-03-25,"Creamery Road, Bell Post Hill, Batesford, City of Greater Geelong, Victoria, 3213, Australia",host,suspended,2021-12-16,2024-03-19,-38.0984759,144.3162869
5,William,Brown,billy52@example.org,(379)448-4737x496,laura.jpg,1954-10-21,"Govett Crescent, St Albans Park, Geelong, City of Greater Geelong, Victoria, 3219, Australia",driver,active,2022-09-20,2024-02-02,-38.1863129,144.3912852
6,Henry,Robertson,hamiltonanthony@example.org,+1-327-352-2876x82469,joseph.jpg,1999-03-08,"Jersey Road, Bell Post Hill, Geelong, City of Greater Geelong, Victoria, 3215, Australia",host,active,2023-09-06,2024-10-11,-38.094111,144.3253776
7,Anthony,Torres,xwhitney@example.net,+1-357-287-4156x269,aaron.jpg,1969-10-21,"Seabreeze Parade, North Shore, Geelong, City of Greater Geelong, Victoria, 3214, Australia",host,active,2021-04-20,2024-01-16,-38.097249,144.3729767
8,Travis,Cantrell,kimberlypark@example.com,892.703.6652,richard.jpg,1995-09-28,"Huegal Street, Breakwater, Geelong, City of Greater Geelong, Victoria, 3219, Australia",driver,suspended,2023-04-25,2024-05-27,-38.179426,144.3693413
9,Jennifer,Ortega,carol39@example.com,+1-650-303-5161,linda.jpg,1959-12-07,"Fyans Street, South Geelong, Geelong, City of Greater Geelong, Victoria, 3220, Australia",driver,active,2020-09-04,2024-03-03,-38.1636761,144.3610866
10,Andrea,Williams,hlawrence@example.org,497.341.2471,terrence.jpg,2000-06-13,"Thoona Lane, Fyansford, Geelong, City of Greater Geelong, Victoria, 3218, Australia",host,suspended,2024-05-03,2024-05-06,-38.1355692,144.2990677
11,Daniel,Johnson,jason08@example.org,+1-373-624-9801x790,brenda.jpg,1972-01-21,"Geelong Ballet Centre, 35, Autumn Street, Geelong West, Geelong, City of Greater Geelong, Victoria, 3218, Australia",host,active,2021-10-13,2024-07-04,-38.14352969999999,144.3504787
12,Anita,Gonzales,waltersjohn@example.net,891.767.3217x8652,tracy.jpg,1989-02-21,"Cornerworks Hair, 22, Boundary Road, Newcomb, Geelong, City of Greater Geelong, Victoria, 3219, Australia",host,active,2023-12-03,2024-04-14,-38.1593056,144.3859505
13,Lisa,Alexander,christywilliams@example.net,+1-668-741-2929x675,kelly.jpg,1988-11-18,"Kidman Avenue, Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,active,2023-09-18,2024-03-16,-38.1856655,144.337768
14,John,Young,ustrickland@example.net,747-855-3826,brittany.jpg,1983-04-26,"Clydesdale Way, Highton, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,active,2021-03-29,2024-01-07,-38.1666967,144.3019496
15,Carol,Roberson,donald06@example.net,001-773-534-2750x47960,samantha.jpg,1971-03-03,"Weeroona Avenue, Hamlyn Heights, Geelong, City of Greater Geelong, Victoria, 3215, Australia",host,suspended,2023-06-08,2024-08-03,-38.1269501,144.3253933
16,Zachary,Burton,robertsdiana@example.org,941.705.9050,julie.jpg,1990-09-25,"11, Foster Street, South Geelong, Geelong, City of Greater Geelong, Victoria, 3220, Australia",host,suspended,2020-01-03,2024-02-13,-38.159807,144.3565038
17,Kevin,Carter,brianjordan@example.org,+1-950-792-4663x83938,deborah.jpg,1965-09-14,"Paget Road, Waurn Ponds, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,active,2020-11-15,2024-08-28,-38.206894,144.2993227
18,Nicole,Olson,jermainewalker@example.org,293-262-9000x396,jane.jpg,1966-10-03,"Deakin University (Geelong Waurn Ponds Campus), Lang Court, Waurn Ponds, Geelong, City of Greater Geelong, Victoria, 3216, Australia",host,active,2024-09-06,2024-07-24,-38.1980218,144.2989393
19,Joe,Wilkerson,hubbardmark@example.net,+1-205-944-9439x72966,robert.jpg,1961-07-02,"Geelong, City of Greater Geelong, Victoria, 3218, Australia",driver,active,2021-04-14,2024-04-23,-38.1180538,144.2047333
20,Dave,Adams,bryancox@example.net,989.451.9595x874,jacqueline.jpg,1978-07-18,"Wilsons Road, St Albans Park, Geelong, City of Greater Geelong, Victoria, 3219, Australia",driver,suspended,2021-02-26,2024-01-08,-38.1912256,144.3876131
